food_category_id,name,subname,priority,reference_amount,calorie,protein,fat,carbohydrate,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,iodine,selenium,chromium,molybdenum,vitamin_a,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,niacin,vitamin_b6,vitamin_b12,folate,pantothenic_acid,biotin,vitamin_c
1,コーンフラワー,白色種,0,1.00,347.000,5.700,2.500,75.600,200.000,3.000,31.000,90.000,0.600,0.600,0.080,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.140,0.060,2.100,0.200,0.000,9.000,0.370,0.000,0.000
1,コーンフレーク,,0,1.00,380.000,6.800,1.200,82.700,95.000,1.000,14.000,45.000,0.900,0.200,0.070,0.000,0.000,5.000,3.000,15.000,10.000,0.000,0.300,0.000,0.030,0.020,1.000,0.040,0.000,6.000,0.220,1.600,0.000
1,コーンミール,黄色種,0,1.00,375.000,7.000,3.600,66.100,220.000,5.000,99.000,130.000,1.500,1.400,0.160,0.380,0.000,0.000,0.000,0.000,13.000,0.000,1.100,0.000,0.150,0.080,1.600,0.430,0.000,28.000,0.570,0.000,0.000
1,コーンミール,白色種,0,1.00,375.000,7.000,3.600,66.100,220.000,5.000,99.000,130.000,1.500,1.400,0.160,0.380,0.000,0.000,0.000,0.000,0.000,0.000,1.100,0.000,0.150,0.080,1.600,0.430,0.000,28.000,0.570,0.000,0.000
1,コッペパン,,0,1.00,259.000,7.300,3.600,48.500,95.000,37.000,24.000,75.000,1.000,0.700,0.120,0.390,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.080,0.080,2.200,0.040,0.000,45.000,0.630,0.000,0.000
1,ジャイアントコーン,フライ / 味付け,0,1.00,409.000,5.200,10.600,67.800,110.000,8.000,88.000,180.000,1.300,1.600,0.070,0.300,0.000,0.000,0.000,0.000,0.000,0.000,1.400,1.000,0.080,0.020,2.400,0.110,0.000,12.000,0.120,0.000,0.000
1,しゅうまいの皮,,0,1.00,275.000,7.500,1.200,57.700,72.000,16.000,17.000,60.000,0.600,0.500,0.100,0.280,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.090,0.040,2.200,0.050,0.000,9.000,0.500,0.000,0.000
1,そうめん・ひやむぎ,ゆで,0,1.00,114.000,3.300,0.300,25.100,5.000,6.000,5.000,24.000,0.200,0.200,0.050,0.120,0.000,6.000,1.000,3.000,0.000,0.000,0.100,0.000,0.020,0.010,0.900,0.000,0.000,2.000,0.250,0.400,0.000
1,そば,ゆで,0,1.00,130.000,3.900,0.900,24.100,34.000,9.000,27.000,80.000,0.800,0.400,0.100,0.380,0.000,12.000,2.000,11.000,0.000,0.000,0.100,0.000,0.050,0.020,1.500,0.040,0.000,8.000,0.330,2.700,0.000
1,そば粉,表層粉,0,1.00,337.000,12.800,3.300,60.500,750.000,32.000,340.000,700.000,4.200,4.600,0.910,2.420,2.000,16.000,6.000,77.000,0.000,0.000,0.400,0.000,0.500,0.140,11.000,0.760,0.000,84.000,2.600,38.000,0.000
1,そば粉,中層粉,0,1.00,334.000,8.700,2.500,68.900,470.000,19.000,220.000,390.000,3.000,2.200,0.580,1.170,0.000,13.000,3.000,43.000,0.000,0.000,0.200,0.000,0.350,0.100,6.800,0.440,0.000,44.000,1.540,18.000,0.000
1,そば粉,全層粉,0,1.00,339.000,10.200,2.900,67.300,410.000,17.000,190.000,400.000,2.800,2.400,0.540,1.090,1.000,7.000,4.000,47.000,0.000,0.000,0.200,0.000,0.460,0.110,7.700,0.300,0.000,51.000,1.560,17.000,0.000
1,そば粉,内層粉,0,1.00,342.000,5.100,1.500,76.800,190.000,10.000,83.000,130.000,1.700,0.900,0.370,0.490,0.000,7.000,2.000,12.000,0.000,0.000,0.100,0.000,0.160,0.070,3.800,0.200,0.000,30.000,0.720,4.700,0.000
1,そば米,,0,1.00,347.000,8.000,2.300,71.800,390.000,12.000,150.000,260.000,1.600,1.400,0.380,0.760,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.420,0.100,6.900,0.350,0.000,23.000,1.530,0.000,0.000
1,ちくわぶ,,0,1.00,160.000,6.500,1.000,30.300,3.000,8.000,6.000,31.000,0.500,0.200,0.070,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.020,1.700,0.010,0.000,4.000,0.250,0.000,0.000
1,とうもろこし,玄穀 / 黄色種,0,1.00,341.000,7.400,4.500,63.300,290.000,5.000,75.000,270.000,1.900,1.700,0.180,0.000,0.000,6.000,0.000,20.000,13.000,0.000,1.000,0.000,0.300,0.100,3.000,0.390,0.000,28.000,0.570,8.300,0.000
1,とうもろこし,玄穀 / 白色種,0,1.00,341.000,7.400,4.500,63.300,290.000,5.000,75.000,270.000,1.900,1.700,0.180,0.000,0.000,6.000,0.000,20.000,0.000,0.000,1.000,0.000,0.300,0.100,3.000,0.390,0.000,28.000,0.570,8.300,0.000
1,ナン,,0,1.00,257.000,9.500,3.100,46.700,97.000,11.000,22.000,77.000,0.800,0.700,0.110,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.000,0.130,0.060,3.400,0.050,0.000,36.000,0.550,0.000,0.000
1,はとむぎ,精白粒,0,1.00,353.000,12.500,0.000,72.400,85.000,6.000,12.000,20.000,0.400,0.400,0.110,0.810,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.050,1.700,0.070,0.000,16.000,0.160,0.000,0.000
1,パン粉,乾燥,0,1.00,369.000,12.100,6.100,62.500,150.000,33.000,39.000,130.000,1.400,0.900,0.200,0.620,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.150,0.030,4.100,0.070,0.000,54.000,0.540,0.000,0.000
1,パン粉,生,0,1.00,277.000,9.100,4.600,47.000,110.000,25.000,29.000,97.000,1.100,0.700,0.150,0.470,0.000,0.000,0.000,0.000,0.000,0.000,0.300,0.000,0.110,0.020,3.100,0.050,0.000,40.000,0.410,0.000,0.000
1,ビーフン,,0,1.00,360.000,5.800,1.500,80.300,33.000,14.000,13.000,59.000,0.700,0.600,0.060,0.330,5.000,3.000,4.000,25.000,0.000,0.000,0.000,0.000,0.060,0.020,2.400,0.000,0.000,4.000,0.090,0.600,0.000
1,ひえ,精白粒,0,1.00,361.000,8.400,3.000,70.200,240.000,7.000,58.000,280.000,1.600,2.200,0.150,1.370,0.000,4.000,2.000,10.000,0.000,0.000,0.100,0.000,0.250,0.020,2.300,0.170,0.000,14.000,1.500,3.600,0.000
1,ピザ生地,,0,1.00,265.000,0.000,2.700,49.100,91.000,13.000,22.000,77.000,0.800,0.600,0.090,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.300,0.000,0.150,0.110,2.500,0.050,0.000,20.000,0.540,0.000,0.000
1,ぶどうパン,,0,1.00,263.000,7.300,3.300,50.000,210.000,32.000,23.000,86.000,0.900,0.600,0.150,0.320,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.110,0.050,2.800,0.070,0.000,33.000,0.420,0.000,0.000
